LGA,Year,Income
MOUNT MARSHALL,2012,45600
MUKINBUDIN,2012,34394
MUNDARING,2012,51549
MURCHISON,2012,73901
MURRAY,2012,46965
NANNUP,2012,31113
NAREMBEEN,2012,34081
NARROGIN,2012,44171
NEDLANDS,2012,65897
NGAANYATJARRAKU,2012,21692
NORTHAM,2012,47598
NORTHAMPTON,2012,39039
NUNGARIN,2012,34726
PEPPERMINT GROVE,2012,81895
PERENJORI,2012,46617
PERTH,2012,54327
PINGELLY,2012,41156
PLANTAGENET,2012,33098
PORT HEDLAND,2012,82729
QUAIRADING,2012,47026
RAVENSTHORPE,2012,47681
ROCKINGHAM,2012,53834
SANDSTONE,2012,53037
SERPENTINE-JARRAHDALE,2012,53892
SHARK BAY,2012,40270
SOUTH PERTH,2012,56817
STIRLING,2012,52355
SUBIACO,2012,64568
SWAN,2012,51231
TAMMIN,2012,37115
THREE SPRINGS,2012,48682
TOODYAY,2012,44129
TRAYNING,2012,42555
UPPER GASCOYNE,2012,57241
VICTORIA PARK,2012,52552
VICTORIA PLAINS,2012,41389
VINCENT,2012,57057
WAGIN,2012,41344
WANDERING,2012,56267
WANNEROO,2012,50323
WAROONA,2012,48473
WEST ARTHUR,2012,39857
WESTONIA,2012,54388
WICKEPIN,2012,37015
WILLIAMS,2012,39464
WILUNA,2012,45324
WONGAN-BALLIDU,2012,48559
WOODANILLING,2012,39939
WYALKATCHEM,2012,54361
WYNDHAM-EAST KIMBERLEY,2012,54458
YALGOO,2012,39126
YILGARN,2012,46575
YORK,2012,38868
ALBANY,2013,41522
ARMADALE,2013,52020
ASHBURTON,2013,99459
AUGUSTA-MARGARET RIVER,2013,37610
BASSENDEAN,2013,53683
BAYSWATER,2013,51784
BELMONT,2013,51797
BEVERLEY,2013,40518
BODDINGTON,2013,68596
BOYUP BROOK,2013,34069
BRIDGETOWN-GREENBUSHES,2013,39045
BROOKTON,2013,45081
BROOME,2013,54305
BROOMEHILL-TAMBELLUP,2013,42601
BRUCE ROCK,2013,59927
BUNBURY,2013,47780
BUSSELTON,2013,41652
CAMBRIDGE,2013,67015
CANNING,2013,47295
CAPEL,2013,52069
CARNAMAH,2013,47395
CARNARVON,2013,42884
CHAPMAN VALLEY,2013,50309
CHITTERING,2013,48564
CLAREMONT,2013,61692
COCKBURN,2013,54859
COLLIE,2013,52204
COOLGARDIE,2013,70274
COOROW,2013,43402
CORRIGIN,2013,50268
COTTESLOE,2013,70049
CRANBROOK,2013,35802
CUBALLING,2013,43285
CUE,2013,29291
CUNDERDIN,2013,51989
DALWALLINU,2013,49667
DANDARAGAN,2013,42821
DARDANUP,2013,50608
DENMARK,2013,32673
DERBY-WEST KIMBERLEY,2013,48605
DONNYBROOK-BALINGUP,2013,38613
DOWERIN,2013,45118
DUMBLEYUNG,2013,58734
DUNDAS,2013,45814
EAST FREMANTLE,2013,63644
EAST PILBARA,2013,81783
ESPERANCE,2013,45524
EXMOUTH,2013,51900
FREMANTLE,2013,54877
GINGIN,2013,37787
GNOWANGERUP,2013,52466
GOOMALLING,2013,43681
GOSNELLS,2013,49531
GREATER GERALDTON,2013,50512
HALLS CREEK,2013,42633
HARVEY,2013,50724
IRWIN,2013,47987
JERRAMUNGUP,2013,46033
JOONDALUP,2013,53800
KALAMUNDA,2013,53556
KALGOORLIE/BOULDER,2013,64719
KARRATHA,2013,83412
KATANNING,2013,43286
KELLERBERRIN,2013,46771
KENT,2013,59338
KOJONUP,2013,37782
KONDININ,2013,52236
KOORDA,2013,44443
KULIN,2013,54546
KWINANA,2013,53147
LAKE GRACE,2013,54102
LAVERTON,2013,47912
LEONORA,2013,59097
MANDURAH,2013,47923
MANJIMUP,2013,37640
MEEKATHARRA,2013,40315
MELVILLE,2013,53503
MENZIES,2013,34463
MERREDIN,2013,50395
MINGENEW,2013,52984
MOORA,2013,49250
MORAWA,2013,48674
MOSMAN PARK,2013,60400
MOUNT MAGNET,2013,45966
MOUNT MARSHALL,2013,47612
MUKINBUDIN,2013,38838
MUNDARING,2013,51945
MURCHISON,2013,75190
MURRAY,2013,47858
NANNUP,2013,30745
NAREMBEEN,2013,50017
NARROGIN,2013,46274
NEDLANDS,2013,67678
NGAANYATJARRAKU,2013,21903
NORTHAM,2013,49758
NORTHAMPTON,2013,37295
NUNGARIN,2013,39783
PEPPERMINT GROVE,2013,84800
PERENJORI,2013,37604
PERTH,2013,55655
PINGELLY,2013,44573
PLANTAGENET,2013,35116
PORT HEDLAND,2013,84001
QUAIRADING,2013,52005
RAVENSTHORPE,2013,52811
ROCKINGHAM,2013,55135
SANDSTONE,2013,52253
SERPENTINE-JARRAHDALE,2013,54959
SHARK BAY,2013,42485
SOUTH PERTH,2013,57670
STIRLING,2013,53494
SUBIACO,2013,65956
SWAN,2013,52303
TAMMIN,2013,47502
THREE SPRINGS,2013,47746
TOODYAY,2013,45652
TRAYNING,2013,49458
UPPER GASCOYNE,2013,50378
VICTORIA PARK,2013,53305
VICTORIA PLAINS,2013,45530
VINCENT,2013,58557
WAGIN,2013,45584
WANDERING,2013,62455
WANNEROO,2013,51075
WAROONA,2013,49385
WEST ARTHUR,2013,38796
WESTONIA,2013,44043
WICKEPIN,2013,51027
WILLIAMS,2013,46445
WILUNA,2013,46769
WONGAN-BALLIDU,2013,49213
WOODANILLING,2013,47932
WYALKATCHEM,2013,54019
WYNDHAM-EAST KIMBERLEY,2013,55736
YALGOO,2013,50193
YILGARN,2013,53569
YORK,2013,40184
ALBANY,2014,42537
ARMADALE,2014,52831
ASHBURTON,2014,105009
AUGUSTA-MARGARET RIVER,2014,38388
BASSENDEAN,2014,54984
BAYSWATER,2014,52068
BELMONT,2014,52111
BEVERLEY,2014,43799
BODDINGTON,2014,68409
BOYUP BROOK,2014,39706
BRIDGETOWN-GREENBUSHES,2014,39952
BROOKTON,2014,47253
BROOME,2014,55085
BROOMEHILL-TAMBELLUP,2014,47735
BRUCE ROCK,2014,64282
BUNBURY,2014,48470
BUSSELTON,2014,42931
CAMBRIDGE,2014,68393
CANNING,2014,47616
CAPEL,2014,52994
CARNAMAH,2014,50384
CARNARVON,2014,44155
CHAPMAN VALLEY,2014,54065
CHITTERING,2014,48330
CLAREMONT,2014,62661
COCKBURN,2014,55711
COLLIE,2014,52290
COOLGARDIE,2014,70346
COOROW,2014,40847
