LGA,Year,Income
IRWIN,2012-13,46181
JERRAMUNGUP,2012-13,34660
JOONDALUP,2012-13,52634
KALAMUNDA,2012-13,52633
KALGOORLIE/BOULDER,2012-13,64580
KARRATHA,2012-13,80249
KATANNING,2012-13,41185
KELLERBERRIN,2012-13,37438
KENT,2012-13,51262
KOJONUP,2012-13,35934
KONDININ,2012-13,35490
KOORDA,2012-13,43020
KULIN,2012-13,43250
KWINANA,2012-13,52309
LAKE GRACE,2012-13,43134
LAVERTON,2012-13,47610
LEONORA,2012-13,62520
MANDURAH,2012-13,46482
MANJIMUP,2012-13,37196
MEEKATHARRA,2012-13,42927
MELVILLE,2012-13,52559
MENZIES,2012-13,38804
MERREDIN,2012-13,45833
MINGENEW,2012-13,54201
MOORA,2012-13,46585
MORAWA,2012-13,53654
MOSMAN PARK,2012-13,58397
MOUNT MAGNET,2012-13,44389
MOUNT MARSHALL,2012-13,45600
MUKINBUDIN,2012-13,34394
MUNDARING,2012-13,51549
MURCHISON,2012-13,73901
MURRAY,2012-13,46965
NANNUP,2012-13,31113
NAREMBEEN,2012-13,34081
NARROGIN,2012-13,44171
NEDLANDS,2012-13,65897
NGAANYATJARRAKU,2012-13,21692
NORTHAM,2012-13,47598
NORTHAMPTON,2012-13,39039
NUNGARIN,2012-13,34726
PEPPERMINT GROVE,2012-13,81895
PERENJORI,2012-13,46617
PERTH,2012-13,54327
PINGELLY,2012-13,41156
PLANTAGENET,2012-13,33098
PORT HEDLAND,2012-13,82729
QUAIRADING,2012-13,47026
RAVENSTHORPE,2012-13,47681
ROCKINGHAM,2012-13,53834
SANDSTONE,2012-13,53037
SERPENTINE-JARRAHDALE,2012-13,53892
SHARK BAY,2012-13,40270
SOUTH PERTH,2012-13,56817
STIRLING,2012-13,52355
SUBIACO,2012-13,64568
SWAN,2012-13,51231
TAMMIN,2012-13,37115
THREE SPRINGS,2012-13,48682
TOODYAY,2012-13,44129
TRAYNING,2012-13,42555
UPPER GASCOYNE,2012-13,57241
VICTORIA PARK,2012-13,52552
VICTORIA PLAINS,2012-13,41389
VINCENT,2012-13,57057
WAGIN,2012-13,41344
WANDERING,2012-13,56267
WANNEROO,2012-13,50323
WAROONA,2012-13,48473
WEST ARTHUR,2012-13,39857
WESTONIA,2012-13,54388
WICKEPIN,2012-13,37015
WILLIAMS,2012-13,39464
WILUNA,2012-13,45324
WONGAN-BALLIDU,2012-13,48559
WOODANILLING,2012-13,39939
WYALKATCHEM,2012-13,54361
WYNDHAM-EAST KIMBERLEY,2012-13,54458
YALGOO,2012-13,39126
YILGARN,2012-13,46575
YORK,2012-13,38868
ALBANY,2013-14,41522
ARMADALE,2013-14,52020
ASHBURTON,2013-14,99459
AUGUSTA-MARGARET RIVER,2013-14,37610
BASSENDEAN,2013-14,53683
BAYSWATER,2013-14,51784
BELMONT,2013-14,51797
BEVERLEY,2013-14,40518
BODDINGTON,2013-14,68596
BOYUP BROOK,2013-14,34069
BRIDGETOWN-GREENBUSHES,2013-14,39045
BROOKTON,2013-14,45081
BROOME,2013-14,54305
BROOMEHILL-TAMBELLUP,2013-14,42601
BRUCE ROCK,2013-14,59927
BUNBURY,2013-14,47780
BUSSELTON,2013-14,41652
CAMBRIDGE,2013-14,67015
CANNING,2013-14,47295
CAPEL,2013-14,52069
CARNAMAH,2013-14,47395
CARNARVON,2013-14,42884
CHAPMAN VALLEY,2013-14,50309
CHITTERING,2013-14,48564
CLAREMONT,2013-14,61692
COCKBURN,2013-14,54859
COLLIE,2013-14,52204
COOLGARDIE,2013-14,70274
COOROW,2013-14,43402
CORRIGIN,2013-14,50268
