LGA,Year,Income
COLLIE,2017-18,48860
COOLGARDIE,2017-18,65366
COOROW,2017-18,47126
CORRIGIN,2017-18,57015
COTTESLOE,2017-18,74918
CRANBROOK,2017-18,43517
CUBALLING,2017-18,44386
CUE,2017-18,31601
CUNDERDIN,2017-18,53461
DALWALLINU,2017-18,52549
DANDARAGAN,2017-18,42129
DARDANUP,2017-18,50706
DENMARK,2017-18,32864
DERBY-WEST KIMBERLEY,2017-18,48257
DONNYBROOK-BALINGUP,2017-18,38563
DOWERIN,2017-18,45668
DUMBLEYUNG,2017-18,59652
DUNDAS,2017-18,48890
EAST FREMANTLE,2017-18,62240
EAST PILBARA,2017-18,78327
ESPERANCE,2017-18,49190
EXMOUTH,2017-18,50117
FREMANTLE,2017-18,55294
GINGIN,2017-18,37572
GNOWANGERUP,2017-18,60777
GOOMALLING,2017-18,45930
GOSNELLS,2017-18,49343
GREATER GERALDTON,2017-18,51331
HALLS CREEK,2017-18,41528
HARVEY,2017-18,50847
IRWIN,2017-18,44919
JERRAMUNGUP,2017-18,51546
JOONDALUP,2017-18,53753
KALAMUNDA,2017-18,52976
KALGOORLIE/BOULDER,2017-18,67751
KARRATHA,2017-18,78594
KATANNING,2017-18,45903
KELLERBERRIN,2017-18,47706
KENT,2017-18,64545
KOJONUP,2017-18,47399
KONDININ,2017-18,51370
KOORDA,2017-18,39379
KULIN,2017-18,57937
KWINANA,2017-18,54415
LAKE GRACE,2017-18,58754
LAVERTON,2017-18,51317
LEONORA,2017-18,70868
MANDURAH,2017-18,47165
MANJIMUP,2017-18,39104
MEEKATHARRA,2017-18,52948
MELVILLE,2017-18,53416
MENZIES,2017-18,43735
MERREDIN,2017-18,52250
MINGENEW,2017-18,57804
MOORA,2017-18,52223
MORAWA,2017-18,47044
MOSMAN PARK,2017-18,61500
MOUNT MAGNET,2017-18,45823
MOUNT MARSHALL,2017-18,37768
MUKINBUDIN,2017-18,43952
MUNDARING,2017-18,51846
MURCHISON,2017-18,72570
MURRAY,2017-18,47526
NANNUP,2017-18,33098
NAREMBEEN,2017-18,53820
NARROGIN,2017-18,49478
NEDLANDS,2017-18,67331
NGAANYATJARRAKU,2017-18,22783
NORTHAM,2017-18,49767
NORTHAMPTON,2017-18,39848
NUNGARIN,2017-18,40050
PEPPERMINT GROVE,2017-18,90486
PERENJORI,2017-18,37204
PERTH,2017-18,53450
PINGELLY,2017-18,47401
PLANTAGENET,2017-18,40742
PORT HEDLAND,2017-18,83516
QUAIRADING,2017-18,56316
RAVENSTHORPE,2017-18,52584
ROCKINGHAM,2017-18,54495
SANDSTONE,2017-18,38699
SERPENTINE-JARRAHDALE,2017-18,55810
SHARK BAY,2017-18,38960
SOUTH PERTH,2017-18,57248
STIRLING,2017-18,53300
SUBIACO,2017-18,64502
SWAN,2017-18,53060
TAMMIN,2017-18,52000
THREE SPRINGS,2017-18,49925
TOODYAY,2017-18,46602
TRAYNING,2017-18,46311
UPPER GASCOYNE,2017-18,59913
VICTORIA PARK,2017-18,53802
VICTORIA PLAINS,2017-18,57573
VINCENT,2017-18,60222
WAGIN,2017-18,44227
WANDERING,2017-18,59916
WANNEROO,2017-18,51659
WAROONA,2017-18,48022
WEST ARTHUR,2017-18,50636
WESTONIA,2017-18,59763
WICKEPIN,2017-18,57175
WILLIAMS,2017-18,54914
WILUNA,2017-18,44558
WONGAN-BALLIDU,2017-18,50332
WOODANILLING,2017-18,48732
WYALKATCHEM,2017-18,49054
WYNDHAM-EAST KIMBERLEY,2017-18,56800
YALGOO,2017-18,35564
YILGARN,2017-18,57067
YORK,2017-18,44186
